"metric","metric_label","model_id","model_alias","pareto_rank","line_id","cell_line","parameter","parameter_label","baseline_metric","elevated_metric","metric_delta","baseline_parameter","elevated_parameter","log2_elevated_vs_baseline","fit_id","best_start"
"ploidy","Ploidy","2R_2P_0W_C0_M1","2R(f)",4,2,"MDA-MB-231","ah[1]","K1",0,0.33,0.33,0.0853545987598419,0.0912331610077441,0.0960894185506103,"all_lines__2r_2p_0w_c0_m1",113
"ploidy","Ploidy","2R_2P_0W_C0_M1","2R(f)",4,2,"MDA-MB-231","Y_R[1]","y1",0,0.33,0.33,5222.50838893815,5037.38156035462,-0.052068891517158,"all_lines__2r_2p_0w_c0_m1",113
"ploidy","Ploidy","2R_2P_0W_C0_M1","2R(f)",4,2,"MDA-MB-231","m","m",0,0.33,0.33,0.02442286553144,0.0176916489592091,-0.465163960040252,"all_lines__2r_2p_0w_c0_m1",113
"ploidy","Ploidy","2R_2P_0W_C0_M1","2R(f)",4,3,"SNU668","ae[1]","v1",0,1,1,0.000211328183746475,0.00032058184755411,0.601207552576868,"all_lines__2r_2p_0w_c0_m1",113
"ploidy","Ploidy","2R_2P_0W_C0_M1","2R(f)",4,3,"SNU668","ah[1]","K1",0,1,1,0.362488927493293,0.443556222613492,0.29118005621397,"all_lines__2r_2p_0w_c0_m1",113
"ploidy","Ploidy","2R_2P_0W_C0_M1","2R(f)",4,3,"SNU668","Y_R[1]","y1",0,1,1,14863.5323663371,13323.6789677214,-0.157784519748965,"all_lines__2r_2p_0w_c0_m1",113
"ploidy","Ploidy","2R_2P_0W_C0_M1","2R(f)",4,3,"SNU668","m","m",0,1,1,0.0252840880091579,0.00951741697115435,-1.40958775769773,"all_lines__2r_2p_0w_c0_m1",113
"ploidy","Ploidy","2R_2P_0W_C0_M1","2R(f)",4,4,"SUM-159-chem","ae[1]","v1",0,1,1,9.38646474029534e-05,0.000142391334421127,0.601207552576868,"all_lines__2r_2p_0w_c0_m1",113
"ploidy","Ploidy","2R_2P_0W_C0_M1","2R(f)",4,4,"SUM-159-chem","ah[1]","K1",0,1,1,0.196387496211375,0.240307742888645,0.291180056213971,"all_lines__2r_2p_0w_c0_m1",113
"ploidy","Ploidy","2R_2P_0W_C0_M1","2R(f)",4,4,"SUM-159-chem","Y_R[1]","y1",0,1,1,4478.65317547545,4014.66728413403,-0.157784519748965,"all_lines__2r_2p_0w_c0_m1",113
"ploidy","Ploidy","2R_2P_0W_C0_M1","2R(f)",4,4,"SUM-159-chem","m","m",0,1,1,0.0252492801253581,0.00950431461429315,-1.40958775769773,"all_lines__2r_2p_0w_c0_m1",113
"ploidy","Ploidy","2R_2P_0W_C0_M1","2R(f)",4,5,"SUM-159-fuse","ae[1]","v1",0,1,1,8.1132524556216e-05,0.000123076885240086,0.601207552576866,"all_lines__2r_2p_0w_c0_m1",113
"ploidy","Ploidy","2R_2P_0W_C0_M1","2R(f)",4,5,"SUM-159-fuse","ah[1]","K1",0,1,1,0.255646346137271,0.312819286375823,0.29118005621397,"all_lines__2r_2p_0w_c0_m1",113
"ploidy","Ploidy","2R_2P_0W_C0_M1","2R(f)",4,5,"SUM-159-fuse","Y_R[1]","y1",0,1,1,65375.8040108289,58602.9083416067,-0.157784519748965,"all_lines__2r_2p_0w_c0_m1",113
"ploidy","Ploidy","2R_2P_0W_C0_M1","2R(f)",4,5,"SUM-159-fuse","m","m",0,1,1,0.0212975287621502,0.00801679940408053,-1.40958775769773,"all_lines__2r_2p_0w_c0_m1",113
"ploidy","Ploidy","2R_2P_1W_C0_M0","2R(f),W(m)",5,1,"MCF10A","ae[1]","v1",0,1,1,6.27579349461215e-05,9.11539484498759e-05,0.538507268684934,"all_lines__2r_2p_1w_c0_m0",120
"ploidy","Ploidy","2R_2P_1W_C0_M0","2R(f),W(m)",5,1,"MCF10A","ah[1]","K1",0,1,1,0.460387639408611,0.498016168807302,0.113343482024314,"all_lines__2r_2p_1w_c0_m0",120
"ploidy","Ploidy","2R_2P_1W_C0_M0","2R(f),W(m)",5,1,"MCF10A","Y_R[1]","y1",0,1,1,21564.7453329671,19917.1978235801,-0.114659991743453,"all_lines__2r_2p_1w_c0_m0",120
"ploidy","Ploidy","2R_2P_1W_C0_M0","2R(f),W(m)",5,1,"MCF10A","m","m",0,1,1,0.0428857761820284,0.0256532413852509,-0.741358104616223,"all_lines__2r_2p_1w_c0_m0",120
"ploidy","Ploidy","2R_2P_1W_C0_M0","2R(f),W(m)",5,2,"MDA-MB-231","ae[1]","v1",0,0.33,0.33,7.08311392088818e-05,8.01160417607166e-05,0.17770739866603,"all_lines__2r_2p_1w_c0_m0",120
"ploidy","Ploidy","2R_2P_1W_C0_M0","2R(f),W(m)",5,2,"MDA-MB-231","ah[1]","K1",0,0.33,0.33,0.0870672778984022,0.0893541024499185,0.0374033490680236,"all_lines__2r_2p_1w_c0_m0",120
"ploidy","Ploidy","2R_2P_1W_C0_M0","2R(f),W(m)",5,2,"MDA-MB-231","Y_R[1]","y1",0,0.33,0.33,5064.27288561262,4933.17801546305,-0.0378377972753385,"all_lines__2r_2p_1w_c0_m0",120
"ploidy","Ploidy","2R_2P_1W_C0_M0","2R(f),W(m)",5,2,"MDA-MB-231","m","m",0,0.33,0.33,0.0205300873429624,0.0173278371655552,-0.244648174523354,"all_lines__2r_2p_1w_c0_m0",120
"ploidy","Ploidy","2R_2P_1W_C0_M0","2R(f),W(m)",5,3,"SNU668","ae[1]","v1",0,1,1,0.000204052456060602,0.000296379845461568,0.538507268684934,"all_lines__2r_2p_1w_c0_m0",120
