"model_id","model_alias","pareto_rank","metric","cell_line","glucose_mM","delta_log_lik","n_wells","glucose_label"
"2R_2P_1W_C0_M0","2R(f),W(m)",5,"nuclear_area","SUM-159-fuse",0.25,-0.68513999999999,2,"0.25"
"1R_1P_0W_C0_M1","1R",1,"cell_area","MCF10A",0.5,-3.86764000000005,2,"0.50"
"1R_1P_1W_C0_M0","1R,W(m)",2,"cell_area","MCF10A",0.5,-11.87725,2,"0.50"
"2R_1P_0W_C0_M1","2R(a)",3,"cell_area","MCF10A",0.5,0.134099999999989,2,"0.50"
"2R_2P_0W_C0_M1","2R(f)",4,"cell_area","MCF10A",0.5,-13.8630900000001,2,"0.50"
"2R_2P_1W_C0_M0","2R(f),W(m)",5,"cell_area","MCF10A",0.5,-13.0318600000001,2,"0.50"
"1R_1P_0W_C0_M1","1R",1,"nuclear_area","MCF10A",0.5,15.9202600000001,2,"0.50"
"1R_1P_1W_C0_M0","1R,W(m)",2,"nuclear_area","MCF10A",0.5,3.42303000000015,2,"0.50"
"2R_1P_0W_C0_M1","2R(a)",3,"nuclear_area","MCF10A",0.5,15.07553,2,"0.50"
"2R_2P_0W_C0_M1","2R(f)",4,"nuclear_area","MCF10A",0.5,20.27223,2,"0.50"
"2R_2P_1W_C0_M0","2R(f),W(m)",5,"nuclear_area","MCF10A",0.5,23.08531,2,"0.50"
"1R_1P_0W_C0_M1","1R",1,"cell_area","MDA-MB-231",0.5,-4.47650999999991,2,"0.50"
"1R_1P_1W_C0_M0","1R,W(m)",2,"cell_area","MDA-MB-231",0.5,4.09725999999995,2,"0.50"
"2R_1P_0W_C0_M1","2R(a)",3,"cell_area","MDA-MB-231",0.5,1.31628000000001,2,"0.50"
"2R_2P_0W_C0_M1","2R(f)",4,"cell_area","MDA-MB-231",0.5,0.424679999999967,2,"0.50"
"2R_2P_1W_C0_M0","2R(f),W(m)",5,"cell_area","MDA-MB-231",0.5,0.0933599999999615,2,"0.50"
