context,assay,image_key,ploidy_state,G0_mM,hours,position,n_cells,image_median_bg_z,pair_id
I00 fuse,I00 monoculture,SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_D9_3_01d08h00m,high,0.25,32,3,470,0.425729461040761,I00 fuse|0.25|32|3
J00 mixture,J00 mixture,SUM159_J00_Competition_F11_1_01d16h00m,low,1,40,1,316,0.655515343824893,SUM159_J00_Competition_F11_1_01d16h00m
J00 mixture,J00 mixture,SUM159_J00_Competition_F11_1_01d16h00m,high,1,40,1,300,0.371375992040451,SUM159_J00_Competition_F11_1_01d16h00m
J00 mixture,J00 mixture,SUM159_J00_Competition_F5_3_01d16h00m,high,0.1,40,3,135,0.418236701295591,SUM159_J00_Competition_F5_3_01d16h00m
J00 mixture,J00 mixture,SUM159_J00_Competition_F5_3_01d16h00m,low,0.1,40,3,141,0.585843836723192,SUM159_J00_Competition_F5_3_01d16h00m
J00 mixture,J00 mixture,SUM159_J00_Competition_F7_1_01d08h00m,low,0.25,32,1,193,0.620940963925469,SUM159_J00_Competition_F7_1_01d08h00m
J00 mixture,J00 mixture,SUM159_J00_Competition_F7_1_01d08h00m,high,0.25,32,1,211,0.478071144058817,SUM159_J00_Competition_F7_1_01d08h00m
J00 mixture,J00 mixture,SUM159_J00_Competition_F7_3_01d08h00m,low,0.25,32,3,159,0.708342440634913,SUM159_J00_Competition_F7_3_01d08h00m
J00 mixture,J00 mixture,SUM159_J00_Competition_F7_3_01d08h00m,high,0.25,32,3,211,0.498410485354442,SUM159_J00_Competition_F7_3_01d08h00m
J00 mixture,J00 mixture,SUM159_J00_Competition_F8_3_01d08h00m,high,0.5,32,3,120,0.425618916697156,SUM159_J00_Competition_F8_3_01d08h00m
J00 mixture,J00 mixture,SUM159_J00_Competition_F8_3_01d08h00m,low,0.5,32,3,118,0.593786080891377,SUM159_J00_Competition_F8_3_01d08h00m
J00 mixture,J00 mixture,SUM159_J00_Competition_F8_4_01d16h00m,low,0.5,40,4,156,0.581267783671807,SUM159_J00_Competition_F8_4_01d16h00m
J00 mixture,J00 mixture,SUM159_J00_Competition_F8_4_01d16h00m,high,0.5,40,4,229,0.410497516174347,SUM159_J00_Competition_F8_4_01d16h00m
J00 mixture,J00 mixture,SUM159_J00_Competition_F9_2_01d16h00m,low,0.5,40,2,222,0.607579105054899,SUM159_J00_Competition_F9_2_01d16h00m
J00 mixture,J00 mixture,SUM159_J00_Competition_F9_2_01d16h00m,high,0.5,40,2,200,0.375689036119528,SUM159_J00_Competition_F9_2_01d16h00m
J00 mixture,J00 mixture,SUM159_J00_Competition_F9_4_01d08h00m,low,0.5,32,4,116,0.805857274011704,SUM159_J00_Competition_F9_4_01d08h00m
J00 mixture,J00 mixture,SUM159_J00_Competition_F9_4_01d08h00m,high,0.5,32,4,160,0.460712626536125,SUM159_J00_Competition_F9_4_01d08h00m
J00 mixture,J00 mixture,SUM159_J00_Competition_G10_1_01d08h00m,high,1,32,1,228,0.327060951731552,SUM159_J00_Competition_G10_1_01d08h00m
J00 mixture,J00 mixture,SUM159_J00_Competition_G10_1_01d08h00m,low,1,32,1,247,0.665494192920535,SUM159_J00_Competition_G10_1_01d08h00m
J00 mixture,J00 mixture,SUM159_J00_Competition_G11_1_01d08h00m,high,1,32,1,213,0.476112213536467,SUM159_J00_Competition_G11_1_01d08h00m
J00 mixture,J00 mixture,SUM159_J00_Competition_G11_1_01d08h00m,low,1,32,1,229,0.685742559023867,SUM159_J00_Competition_G11_1_01d08h00m
J00 mixture,J00 mixture,SUM159_J00_Competition_G11_2_01d16h00m,high,1,40,2,349,0.415662876997528,SUM159_J00_Competition_G11_2_01d16h00m
J00 mixture,J00 mixture,SUM159_J00_Competition_G11_2_01d16h00m,low,1,40,2,305,0.591667020364087,SUM159_J00_Competition_G11_2_01d16h00m
