context,assay,G0_mM,hours,pair_id,size_decile,stratum_median_bg_z_low,stratum_median_bg_z_high,n_cells_low,n_cells_high,high_minus_low_bg_z
I00 fuse,I00 monoculture,0.25,32,I00 fuse|0.25|32|2,5,0.708127034106637,0.375482781107374,20,39,-0.332644252999263
I00 fuse,I00 monoculture,0.25,32,I00 fuse|0.25|32|2,6,0.701568365221359,0.311351502731442,34,42,-0.390216862489916
I00 fuse,I00 monoculture,0.25,32,I00 fuse|0.25|32|2,7,0.610337204674761,0.377943487507772,40,30,-0.232393717166989
I00 fuse,I00 monoculture,0.25,32,I00 fuse|0.25|32|2,8,0.79275447786758,0.318932015405961,43,45,-0.473822462461619
I00 fuse,I00 monoculture,0.25,32,I00 fuse|0.25|32|2,9,0.753462019407254,0.301103264380011,38,45,-0.452358755027242
I00 fuse,I00 monoculture,0.25,32,I00 fuse|0.25|32|2,10,0.397417158261118,0.30189683827332,46,27,-0.0955203199877984
I00 fuse,I00 monoculture,0.25,32,I00 fuse|0.25|32|3,1,0.283846256512552,0.615991823124168,11,65,0.332145566611617
I00 fuse,I00 monoculture,0.25,32,I00 fuse|0.25|32|3,2,0.601518024832009,0.77904974984102,12,56,0.177531725009011
I00 fuse,I00 monoculture,0.25,32,I00 fuse|0.25|32|3,4,0.490822390660367,0.454395589552883,17,55,-0.036426801107484
I00 fuse,I00 monoculture,0.25,32,I00 fuse|0.25|32|3,5,0.324536255512249,0.375667771243877,31,53,0.0511315157316282
I00 fuse,I00 monoculture,0.25,32,I00 fuse|0.25|32|3,6,0.627109618920288,0.381238107705067,31,52,-0.24587151121522
I00 fuse,I00 monoculture,0.25,32,I00 fuse|0.25|32|3,7,0.495707848506752,0.410745434306045,33,40,-0.0849624142007068
I00 fuse,I00 monoculture,0.25,32,I00 fuse|0.25|32|3,8,0.44449576939083,0.393029743106103,38,45,-0.0514660262847277
I00 fuse,I00 monoculture,0.25,32,I00 fuse|0.25|32|3,9,0.404230467199778,0.140310652248671,41,28,-0.263919814951107
I00 fuse,I00 monoculture,0.25,32,I00 fuse|0.25|32|3,10,0.584551820690733,0.148104367404081,54,21,-0.436447453286652
I00 fuse,I00 monoculture,0.5,32,I00 fuse|0.5|32|2,1,0.271628490870247,0.766182313898102,16,66,0.494553823027855
I00 fuse,I00 monoculture,0.5,32,I00 fuse|0.5|32|2,2,1.29145403711264,0.684411155049911,13,50,-0.607042882062725
I00 fuse,I00 monoculture,0.5,32,I00 fuse|0.5|32|2,3,0.378606690926461,0.574528202931122,12,59,0.195921512004661
I00 fuse,I00 monoculture,0.5,32,I00 fuse|0.5|32|2,4,0.714918039297512,0.534956279765183,19,49,-0.17996175953233
I00 fuse,I00 monoculture,0.5,32,I00 fuse|0.5|32|2,5,0.382880161006045,0.422881647279726,15,51,0.0400014862736812
I00 fuse,I00 monoculture,0.5,32,I00 fuse|0.5|32|2,6,0.595847214864842,0.418516312704309,36,43,-0.177330902160533
I00 fuse,I00 monoculture,0.5,32,I00 fuse|0.5|32|2,7,0.653657592838623,0.388562095876673,40,38,-0.26509549696195
I00 fuse,I00 monoculture,0.5,32,I00 fuse|0.5|32|2,8,0.534691076477422,0.257299369379141,37,34,-0.277391707098281
I00 fuse,I00 monoculture,0.5,32,I00 fuse|0.5|32|2,9,0.625123013590513,0.258525148117455,40,25,-0.366597865473058
I00 fuse,I00 monoculture,0.5,32,I00 fuse|0.5|32|2,10,0.519381496351338,0.266249356784625,64,17,-0.253132139566714
I00 fuse,I00 monoculture,0.5,32,I00 fuse|0.5|32|3,1,0.430667530560396,0.661562923401871,24,54,0.230895392841475
I00 fuse,I00 monoculture,0.5,32,I00 fuse|0.5|32|3,2,1.23712233279739,0.533156273397852,17,47,-0.703966059399541
I00 fuse,I00 monoculture,0.5,32,I00 fuse|0.5|32|3,3,0.880264953343817,0.508771232135131,20,75,-0.371493721208686
I00 fuse,I00 monoculture,0.5,32,I00 fuse|0.5|32|3,4,0.657393779475965,0.384129549598117,21,64,-0.273264229877848
I00 fuse,I00 monoculture,0.5,32,I00 fuse|0.5|32|3,5,0.787322774263611,0.368889089305145,20,59,-0.418433684958466
I00 fuse,I00 monoculture,0.5,32,I00 fuse|0.5|32|3,6,0.758116976962487,0.287730075965592,33,50,-0.470386900996894
I00 fuse,I00 monoculture,0.5,32,I00 fuse|0.5|32|3,7,0.625834832124824,0.36939885721355,37,44,-0.256435974911274
I00 fuse,I00 monoculture,0.5,32,I00 fuse|0.5|32|3,8,0.730774694108911,0.29848930297108,30,40,-0.432285391137831
I00 fuse,I00 monoculture,0.5,32,I00 fuse|0.5|32|3,9,0.637768894613253,0.32353422317054,56,35,-0.314234671442714
I00 fuse,I00 monoculture,0.5,32,I00 fuse|0.5|32|3,10,0.684500908388881,0.338693151077563,65,15,-0.345807757311319
I00 fuse,I00 monoculture,1,32,I00 fuse|1|32|2,1,0.896800764299021,0.746219694772879,27,82,-0.150581069526142
I00 fuse,I00 monoculture,1,32,I00 fuse|1|32|2,2,0.870455689008775,0.584315474349669,23,89,-0.286140214659107
I00 fuse,I00 monoculture,1,32,I00 fuse|1|32|2,3,0.795812300853015,0.558775280465569,27,73,-0.237037020387446
I00 fuse,I00 monoculture,1,32,I00 fuse|1|32|2,4,0.764057766913835,0.352403153595622,30,65,-0.411654613318214
I00 fuse,I00 monoculture,1,32,I00 fuse|1|32|2,5,0.866796568121247,0.250923940581894,26,70,-0.615872627539353
I00 fuse,I00 monoculture,1,32,I00 fuse|1|32|2,6,0.68927824964191,0.20487946078358,24,38,-0.484398788858331
I00 fuse,I00 monoculture,1,32,I00 fuse|1|32|2,7,0.785814621501849,0.303224663838849,21,42,-0.482589957663
I00 fuse,I00 monoculture,1,32,I00 fuse|1|32|2,8,0.755035307624379,0.346355206242721,34,28,-0.408680101381658
I00 fuse,I00 monoculture,1,32,I00 fuse|1|32|2,9,0.51092530346674,0.184896283148038,40,23,-0.326029020318702
I00 fuse,I00 monoculture,1,32,I00 fuse|1|32|2,10,0.526175483852027,0.29362979445922,52,10,-0.232545689392806
I00 fuse,I00 monoculture,1,32,I00 fuse|1|32|3,1,1.08454811741595,0.935310398073485,39,87,-0.149237719342465
I00 fuse,I00 monoculture,1,32,I00 fuse|1|32|3,2,1.07068990622428,0.514312532540645,41,91,-0.556377373683632
I00 fuse,I00 monoculture,1,32,I00 fuse|1|32|3,3,0.823800410344582,0.443813660159072,30,67,-0.37998675018551
I00 fuse,I00 monoculture,1,32,I00 fuse|1|32|3,4,0.68568515306019,0.366737865289929,46,56,-0.318947287770261
I00 fuse,I00 monoculture,1,32,I00 fuse|1|32|3,5,0.91830739793102,0.368321689240479,33,52,-0.54998570869054
I00 fuse,I00 monoculture,1,32,I00 fuse|1|32|3,6,0.727848052379372,0.404949176978792,36,54,-0.32289887540058
I00 fuse,I00 monoculture,1,32,I00 fuse|1|32|3,7,0.691413155871267,0.286450773828135,55,55,-0.404962382043132
I00 fuse,I00 monoculture,1,32,I00 fuse|1|32|3,8,0.652870909350912,0.230049649376483,43,26,-0.422821259974428
I00 fuse,I00 monoculture,1,32,I00 fuse|1|32|3,9,0.65713692002386,0.386035263600815,64,20,-0.271101656423045
I00 fuse,I00 monoculture,1,32,I00 fuse|1|32|3,10,0.640021566683622,0.319368122784647,61,13,-0.320653443898974
M00b chem,M00b monoculture,0.1,32,M00b chem|0.1|32|2,2,0.684425493012382,1.14710799680318,11,10,0.462682503790794
M00b chem,M00b monoculture,0.1,32,M00b chem|0.1|32|2,5,0.431420830087308,0.818327897041653,13,13,0.386907066954345
M00b chem,M00b monoculture,0.25,32,M00b chem|0.25|32|2,2,0.81656811072117,0.939400397521869,24,10,0.122832286800699
M00b chem,M00b monoculture,0.25,32,M00b chem|0.25|32|2,5,0.663764651430011,0.803139945698178,23,10,0.139375294268167
M00b chem,M00b monoculture,0.25,32,M00b chem|0.25|32|2,6,0.711188101442606,0.855775685169054,22,13,0.144587583726447
M00b chem,M00b monoculture,0.25,32,M00b chem|0.25|32|2,7,0.533852449925169,0.823369064028957,14,11,0.289516614103788
M00b chem,M00b monoculture,0.25,32,M00b chem|0.25|32|2,8,0.219552581090173,0.70410559693826,11,22,0.484553015848087
M00b chem,M00b monoculture,0.25,32,M00b chem|0.25|32|3,7,0.309095112474637,0.734056277300832,15,10,0.424961164826195
M00b chem,M00b monoculture,0.5,32,M00b chem|0.5|32|2,1,0.536039574162857,1.10586496669822,21,16,0.569825392535367
M00b chem,M00b monoculture,0.5,32,M00b chem|0.5|32|2,2,0.572393819890986,1.36135357896617,24,14,0.788959759075179
M00b chem,M00b monoculture,0.5,32,M00b chem|0.5|32|2,3,0.676480744176735,0.888493959701029,26,18,0.212013215524294
M00b chem,M00b monoculture,0.5,32,M00b chem|0.5|32|2,6,0.424362109434061,0.946425723454092,12,13,0.52206361402003
M00b chem,M00b monoculture,0.5,32,M00b chem|0.5|32|2,7,0.409146131468109,0.484586926046667,18,15,0.0754407945785578
M00b chem,M00b monoculture,0.5,32,M00b chem|0.5|32|2,8,0.330043814063412,0.398807309956706,16,29,0.0687634958932938
M00b chem,M00b monoculture,0.5,32,M00b chem|0.5|32|3,2,0.407766505102821,1.37691493922868,11,13,0.96914843412586
M00b chem,M00b monoculture,0.5,32,M00b chem|0.5|32|3,3,0.595888763215444,1.1940152068474,11,10,0.598126443631954
M00b chem,M00b monoculture,0.5,32,M00b chem|0.5|32|3,4,0.407481991829517,1.14740398553031,16,18,0.739921993700789
M00b chem,M00b monoculture,0.5,32,M00b chem|0.5|32|3,5,0.279757217579211,0.55337697553294,20,18,0.273619757953729
M00b chem,M00b monoculture,0.5,32,M00b chem|0.5|32|3,6,0.490650079159781,0.894512906337727,15,13,0.403862827177946
