context,G0_mM,hours,ploidy_state,n_cells,median_cell_area_px,cell_q10,cell_q90,median_nuclear_area_px,nuclear_q10,nuclear_q90,context_label,G0_label
C00 fuse,0.1,56,high,1200,1091.5,532.7,2300,198,126,302,SUM-159-fuse C00,★ 0.1 mM
C00 fuse,0.1,64,high,507,1244,494.6,2553.6,200,109.6,315,SUM-159-fuse C00,★ 0.1 mM
C00 fuse,0.1,72,high,286,1176,457.5,2514.5,187.5,98,300.5,SUM-159-fuse C00,★ 0.1 mM
C00 fuse,0.1,80,high,180,1096.5,446.5,2418.7,191,102.9,315.3,SUM-159-fuse C00,★ 0.1 mM
C00 fuse,0.1,88,high,106,1062.5,357,2267.5,193.5,84.5,339.5,SUM-159-fuse C00,★ 0.1 mM
C00 fuse,0.1,96,high,93,813,284.2,2085,179,73,290.4,SUM-159-fuse C00,★ 0.1 mM
C00 fuse,0.1,104,high,91,572,215,1688,167,67,301,SUM-159-fuse C00,★ 0.1 mM
C00 fuse,0.1,112,high,80,512,214.9,1613.1,144.5,63.9,302.3,SUM-159-fuse C00,★ 0.1 mM
C00 fuse,0.1,120,high,78,543,222.5,1674.5,154.5,88.4,309.5,SUM-159-fuse C00,★ 0.1 mM
C00 fuse,0.1,128,high,82,396.5,213.4,1200.5,115.5,62.1,241,SUM-159-fuse C00,★ 0.1 mM
C00 fuse,0.1,144,high,74,431,220.2,920.2,120,65.6,224.6,SUM-159-fuse C00,★ 0.1 mM
C00 fuse,0.1,136,high,65,409,217.6,1103.2,122,50.8,234.4,SUM-159-fuse C00,★ 0.1 mM
C00 fuse,0.5,8,high,3682,983,590,1630.9,173,122,257.9,SUM-159-fuse C00,★ 0.5 mM
C00 fuse,0.5,16,high,5308,1474.5,824,2403.6,201,143,281,SUM-159-fuse C00,★ 0.5 mM
C00 fuse,0.5,24,high,6449,1605,840,2620,218,143,301,SUM-159-fuse C00,★ 0.5 mM
C00 fuse,0.5,32,high,7811,1460,801,2540,222,152,316,SUM-159-fuse C00,★ 0.5 mM
C00 fuse,0.5,40,high,8411,1310,747,2397,221,154,322,SUM-159-fuse C00,★ 0.5 mM
C00 fuse,0.5,48,high,7769,1267,702,2389,222,151,333,SUM-159-fuse C00,★ 0.5 mM
C00 fuse,0.5,56,high,5345,1121,583,2198.6,217,141,336.6,SUM-159-fuse C00,★ 0.5 mM
C00 fuse,0.5,64,high,2791,962,496,2036,196,117,306,SUM-159-fuse C00,★ 0.5 mM
C00 fuse,0.5,72,high,1120,928,438.9,2216.8,181,105.9,288,SUM-159-fuse C00,★ 0.5 mM
C00 fuse,0.5,80,high,507,903,418,2496,174,103,287.4,SUM-159-fuse C00,★ 0.5 mM
C00 fuse,0.5,88,high,255,888,386.6,2526.2,165,87.4,296.8,SUM-159-fuse C00,★ 0.5 mM
C00 fuse,0.5,96,high,190,1005.5,407.8,2470.9,205.5,114.9,342.3,SUM-159-fuse C00,★ 0.5 mM
C00 fuse,0.5,104,high,143,786,343.4,2213.2,186,99.2,342.6,SUM-159-fuse C00,★ 0.5 mM
C00 fuse,0.5,112,high,134,675.5,284.6,1986.7,182.5,83.6,343.1,SUM-159-fuse C00,★ 0.5 mM
C00 fuse,0.5,120,high,118,589,254.5,1925.5,178.5,80.5,322.3,SUM-159-fuse C00,★ 0.5 mM
C00 fuse,0.5,128,high,95,518,233,1762.6,160,77.8,315.4,SUM-159-fuse C00,★ 0.5 mM
C00 fuse,0.5,136,high,102,530.5,240.6,1737.9,157.5,80,316.8,SUM-159-fuse C00,★ 0.5 mM
C00 fuse,0.5,144,high,93,408,156.6,1435.4,147,65.2,297.8,SUM-159-fuse C00,★ 0.5 mM
C00 fuse,1,8,high,3879,1004,595,1673.2,173,123,256,SUM-159-fuse C00,★ 1 mM
C00 fuse,1,16,high,5684,1446.5,823,2352,204,143.3,283,SUM-159-fuse C00,★ 1 mM
C00 fuse,1,24,high,7325,1496,768.4,2458.6,216,142,298,SUM-159-fuse C00,★ 1 mM
C00 fuse,1,32,high,10193,1373,736,2344.8,218,145,300,SUM-159-fuse C00,★ 1 mM
C00 fuse,1,40,high,12022,1319,707,2300.8,227,151,315,SUM-159-fuse C00,★ 1 mM
C00 fuse,1,48,high,12694,1192.5,649,2129,226,153,321,SUM-159-fuse C00,★ 1 mM
C00 fuse,1,56,high,11020,1171,628,2127,230,152,332,SUM-159-fuse C00,★ 1 mM
C00 fuse,1,64,high,5125,1051,499,2126.6,212,122,325.6,SUM-159-fuse C00,★ 1 mM
C00 fuse,1,72,high,1902,970,438,2105.8,189,99,311,SUM-159-fuse C00,★ 1 mM
C00 fuse,1,80,high,758,853.5,389,2095.2,168.5,91,304.3,SUM-159-fuse C00,★ 1 mM
C00 fuse,1,88,high,371,824,382,2289,175,90,311,SUM-159-fuse C00,★ 1 mM
C00 fuse,1,96,high,214,618,387.9,1985.2,157.5,91.6,272.4,SUM-159-fuse C00,★ 1 mM
C00 fuse,1,104,high,154,530,345.3,1573.2,149.5,93.5,269.5,SUM-159-fuse C00,★ 1 mM
C00 fuse,1,112,high,106,494,264.5,1649,151,88.5,297.5,SUM-159-fuse C00,★ 1 mM
C00 fuse,1,120,high,95,473,244.4,1323.2,153,84.4,278.6,SUM-159-fuse C00,★ 1 mM
C00 fuse,1,128,high,95,431,154.2,982.4,145,55.4,241.2,SUM-159-fuse C00,★ 1 mM
C00 fuse,1,136,high,122,383,191.2,848.4,134,69,278.7,SUM-159-fuse C00,★ 1 mM
C00 fuse,1,144,high,124,350,177.7,841.8,131.5,63.3,240.2,SUM-159-fuse C00,★ 1 mM
I00 fuse,0.5,0,high,2500,620,365,1159.3,131,81,211,SUM-159-fuse I00,★ 0.5 mM
I00 fuse,0.5,8,high,3139,968,560,1746.2,164,115,254,SUM-159-fuse I00,★ 0.5 mM
I00 fuse,0.5,16,high,4186,1432.5,787,2308.5,192,133,274,SUM-159-fuse I00,★ 0.5 mM
I00 fuse,0.5,24,high,5179,1435,716.8,2384.8,204,128.8,288,SUM-159-fuse I00,★ 0.5 mM
I00 fuse,0.5,32,high,7298,1338,719,2143.3,207,143,282,SUM-159-fuse I00,★ 0.5 mM
I00 fuse,0.5,40,high,8191,1330,718,2154,216,148,291,SUM-159-fuse I00,★ 0.5 mM
I00 fuse,0.5,48,high,8980,1234,683,2044.1,212,142,292,SUM-159-fuse I00,★ 0.5 mM
I00 fuse,0.5,56,high,9151,1157,642,1940,204,138,287,SUM-159-fuse I00,★ 0.5 mM
I00 fuse,0.5,64,high,8207,1061,564,1865,191,127,281,SUM-159-fuse I00,★ 0.5 mM
I00 fuse,0.5,80,high,5195,908,469.4,1744.2,177,106,272,SUM-159-fuse I00,★ 0.5 mM
I00 fuse,0.5,88,high,4130,914,472.9,1751.2,182,100,283,SUM-159-fuse I00,★ 0.5 mM
I00 fuse,0.5,96,high,3504,898.5,480.3,1681,192,104,307,SUM-159-fuse I00,★ 0.5 mM
I00 fuse,0.5,104,high,2793,890,473,1678.6,199,103.2,320,SUM-159-fuse I00,★ 0.5 mM
I00 fuse,0.5,112,high,2049,864,461,1678,207,92,336.2,SUM-159-fuse I00,★ 0.5 mM
I00 fuse,0.5,120,high,1104,859.5,444.3,1632.6,217,95,355,SUM-159-fuse I00,★ 0.5 mM
I00 fuse,1,0,high,2346,610,367,1092,131,83,204,SUM-159-fuse I00,★ 1 mM
I00 fuse,1,8,high,3063,971,569,1692,165,117,253,SUM-159-fuse I00,★ 1 mM
I00 fuse,1,16,high,4133,1405,780,2266.8,192,137,274,SUM-159-fuse I00,★ 1 mM
I00 fuse,1,24,high,5344,1316,656,2219.7,196,127,280,SUM-159-fuse I00,★ 1 mM
I00 fuse,1,32,high,7966,1269.5,690,2003,208,144,277,SUM-159-fuse I00,★ 1 mM
I00 fuse,1,40,high,10097,1211,611,2030.4,212,136,293,SUM-159-fuse I00,★ 1 mM
