context,G0_mM,ploidy_state,n_cells,bin_left_px,bin_right_px,metric,fraction_cells,median_px
C00 fuse,0.5,low,2,12181.8791201012,13894.9549437314,cell,7.25610419765628e-05,2019
C00 fuse,0.5,low,3,13894.9549437314,15848.9319246111,cell,0.000108841562964844,2019
C00 fuse,0.1,high,15,180.776867696343,206.198600950222,cell,0.000921206165939937,1423
C00 fuse,0.1,high,6,158.489319246111,180.776867696343,cell,0.000368482466375975,1423
C00 fuse,0.1,high,2,121.818791201012,138.949549437314,cell,0.000122827488791992,1423
C00 fuse,0.1,high,1,48.496934285282,55.3168119761723,cell,6.14137443959958e-05,1423
C00 fuse,0.5,high,3,121.818791201012,138.949549437314,cell,9.85318750615824e-05,1398
C00 fuse,1,high,3,121.818791201012,138.949549437314,cell,7.10244087217974e-05,1322
C00 fuse,1,high,2,93.6329208823942,106.800043251458,cell,4.73496058145316e-05,1322
C00 fuse,1,high,1,8208.91415963826,9363.29208823942,cell,2.36748029072658e-05,1322
C00 fuse,1,high,3,7196.85673001152,8208.91415963826,cell,7.10244087217974e-05,1322
C00 fuse,0.1,low,2,12181.8791201012,13894.9549437314,cell,0.000100994798767863,1664
C00 fuse,0.1,low,1,121.818791201012,138.949549437314,cell,5.04973993839317e-05,1664
C00 fuse,0.1,low,5,9363.29208823942,10680.0043251458,cell,0.000252486996919659,1664
C00 fuse,0.5,low,3,15848.9319246111,18077.6867696343,cell,0.000108841562964844,2019
C00 fuse,0.5,low,6,18077.6867696343,20619.8600950222,cell,0.000217683125929688,2019
C00 fuse,1,low,1,106.800043251458,121.818791201012,cell,3.00291282544068e-05,1952
C00 fuse,0.1,high,1,82.0891415963825,93.6329208823942,cell,6.14137443959958e-05,1423
C00 fuse,0.1,high,2,138.949549437314,158.489319246111,cell,0.000122827488791992,1423
C00 fuse,0.5,high,3,7196.85673001152,8208.91415963826,cell,9.85318750615824e-05,1398
C00 fuse,0.5,high,1,8208.91415963826,9363.29208823942,cell,3.28439583538608e-05,1398
C00 fuse,1,high,1,106.800043251458,121.818791201012,cell,2.36748029072658e-05,1322
C00 fuse,0.1,high,3,7196.85673001152,8208.91415963826,cell,0.000184241233187987,1423
C00 fuse,0.1,high,1,9363.29208823942,10680.0043251458,cell,6.14137443959958e-05,1423
C00 fuse,0.1,high,1,6309.57344480193,7196.85673001152,cell,6.14137443959958e-05,1423
C00 fuse,0.5,high,3,106.800043251458,121.818791201012,cell,9.85318750615824e-05,1398
C00 fuse,0.1,low,2,10680.0043251458,12181.8791201012,cell,0.000100994798767863,1664
C00 fuse,0.5,low,1,93.6329208823942,106.800043251458,cell,3.62805209882814e-05,2019
C00 fuse,1,low,1,12181.8791201012,13894.9549437314,cell,3.00291282544068e-05,1952
C00 fuse,1,low,1,13894.9549437314,15848.9319246111,cell,3.00291282544068e-05,1952
C00 fuse,1,low,1,15848.9319246111,18077.6867696343,cell,3.00291282544068e-05,1952
C00 fuse,0.1,high,1,106.800043251458,121.818791201012,cell,6.14137443959958e-05,1423
I00 fuse,0.5,high,931,590.783791158794,673.862716803094,cell,0.0313964860216504,1316
I00 fuse,0.5,high,3503,1483.98178896756,1692.66661503788,cell,0.118133072539035,1316
I00 fuse,0.5,high,263,398.107170553497,454.090961097248,cell,0.00886925437561124,1316
I00 fuse,0.5,high,200,3268.02758941013,3727.59372031494,cell,0.00674468013354467,1316
I00 fuse,0.5,high,363,2865.12026966378,3268.02758941013,cell,0.0122415944423836,1316
